name,total,days,nation,distributor,rating,genre,director,holiday
007 스펙터,188319,1,기타,264826.3333,15세이상관람가,액션,1402021,0
007 스펙터,1412150,8,기타,264826.3333,15세이상관람가,액션,1402021,0
007 스펙터,1726416,15,기타,264826.3333,15세이상관람가,액션,1402021,0
13시간,124249,7,미국,2272199.667,15세이상관람가,액션,2685463.667,0
13시간,142513,14,미국,2272199.667,15세이상관람가,액션,2685463.667,0
19곰 테드 2,133198,7,미국,264826.3333,청소년관람불가,코미디,639640.6667,0
19곰 테드 2,167144,14,미국,264826.3333,청소년관람불가,코미디,639640.6667,0
23 아이덴티티,137279,1,미국,264826.3333,15세이상관람가,범죄/스릴러,1194960.667,0
23 아이덴티티,1316094,8,미국,264826.3333,15세이상관람가,범죄/스릴러,1194960.667,0
23 아이덴티티,1573959,15,미국,264826.3333,15세이상관람가,범죄/스릴러,1194960.667,0
50가지 그림자: 심연,152504,7,미국,264826.3333,청소년관람불가,드라마,69450.66667,0
50가지 그림자: 심연,181941,14,미국,264826.3333,청소년관람불가,드라마,69450.66667,0
가디언즈 오브 갤럭시 VOL. 2,570901,1,미국,2091118.667,12세이상관람가,액션,2023457,0
가디언즈 오브 갤럭시 VOL. 2,2055999,8,미국,2091118.667,12세이상관람가,액션,2023457,0
가디언즈 오브 갤럭시 VOL. 2,2516537,15,미국,2091118.667,12세이상관람가,액션,2023457,0
가려진 시간,434830,8,한국,5306580.667,12세이상관람가,드라마,185177.3333,0
가려진 시간,504146,15,한국,5306580.667,12세이상관람가,드라마,185177.3333,0
간신,694266,7,한국,2272199.667,청소년관람불가,드라마,792263.3333,0
간신,948493,14,한국,2272199.667,청소년관람불가,드라마,792263.3333,0
갓 오브 이집트,610123,7,미국,645121.6667,12세이상관람가,기타,1030617.333,0
갓 오브 이집트,823410,14,미국,645121.6667,12세이상관람가,기타,1030617.333,0
강남 1970,163151,1,한국,5306580.667,청소년관람불가,액션,2528093,0
강남 1970,1289783,8,한국,5306580.667,청소년관람불가,액션,2528093,0
강남 1970,1907689,15,한국,5306580.667,청소년관람불가,액션,2528093,0
개를 훔치는 완벽한 방법,183398,8,한국,46549,전체관람가,드라마,268093.3333,0
개를 훔치는 완벽한 방법,221805,15,한국,46549,전체관람가,드라마,268093.3333,0
거울나라의 앨리스,272918,8,미국,2719083.333,12세이상관람가,기타,257348.5,1
거울나라의 앨리스,467307,15,미국,2719083.333,12세이상관람가,기타,257348.5,1
검사외전,539688,1,한국,5306580.667,15세이상관람가,범죄/스릴러,5541558.333,1
검사외전,6405797,8,한국,5306580.667,15세이상관람가,범죄/스릴러,5541558.333,1
검사외전,8499038,15,한국,5306580.667,15세이상관람가,범죄/스릴러,5541558.333,1
검은 사제들,2183079,7,한국,2392197.667,15세이상관람가,드라마,2785764,0
검은 사제들,3877313,14,한국,2392197.667,15세이상관람가,드라마,2785764,0
